ano,bairro,roubo_bicicleta,furto_bicicleta,total_crimes
2023,VILA KOSMOS,2,9,11
2023,VILA MILITAR,0,38,38
2023,VILA VALQUEIRE,0,16,16
2023,VISTA ALEGRE,2,9,11
2023,ZUMBI,1,25,26
2023,ÁGUA SANTA,5,8,13
2024,ABOLIÇÃO,2,3,5
2024,ACARI,0,5,5
2024,ALTO DA BOA VISTA,4,47,51
2024,ANCHIETA,0,9,9
2024,ANDARAÍ,3,38,41
2024,ANIL,2,44,46
2024,BANCÁRIOS,1,21,22
2024,BANGU,8,28,36
2024,BARRA DA TIJUCA,8,94,102
2024,BARRA DE GUARATIBA,9,113,122
2024,BARROS FILHO,0,5,5
2024,BENFICA,0,19,19
2024,BENTO RIBEIRO,1,5,6
2024,BONSUCESSO,0,19,19
2024,BOTAFOGO,84,204,288
2024,BRÁS DE PINA,7,11,18
2024,CACHAMBI,1,6,7
2024,CACUIA,1,21,22
2024,CAJU,2,10,12
2024,CAMORIM,9,113,122
2024,CAMPINHO,1,5,6
2024,CAMPO DOS AFONSOS,0,21,21
2024,CAMPO GRANDE,1,38,39
2024,CASCADURA,2,8,10
2024,CATETE,73,143,216
2024,CATUMBI,0,13,13
2024,CAVALCANTI,2,8,10
2024,CENTRO,23,520,543
2024,CIDADE DE DEUS,2,44,46
2024,CIDADE NOVA,0,13,13
2024,CIDADE UNIVERSITÁRIA,1,21,22
2024,COCOTÁ,1,21,22
2024,COELHO NETO,2,10,12
2024,COLÉGIO,4,29,33
2024,COPACABANA,18,256,274
2024,CORDOVIL,3,1,4
2024,COSME VELHO,73,143,216
2024,COSMOS,1,38,39
2024,COSTA BARROS,0,5,5
2024,CURICICA,2,44,46
2024,DEL CASTILHO,2,8,10
2024,DEODORO,0,21,21
2024,ENCANTADO,2,3,5
2024,ENGENHEIRO LEAL,2,8,10
2024,ENGENHO DA RAINHA,2,8,10
2024,ENGENHO DE DENTRO,5,15,20
2024,ENGENHO NOVO,1,6,7
2024,ESTÁCIO,0,13,13
2024,FLAMENGO,73,143,216
2024,FREGUESIA (JACAREPAGUÁ),2,25,27
2024,GALEÃO,1,21,22
2024,GAMBOA,1,16,17
2024,GARDÊNIA AZUL,2,44,46
2024,GERICINÓ,8,28,36
2024,GLÓRIA,73,143,216
2024,GRAJAÚ,3,38,41
2024,GRUMARI,9,113,122
2024,GUADALUPE,0,9,9
2024,GUARATIBA,0,24,24
2024,GÁVEA,6,73,79
2024,HIGIENÓPOLIS,0,19,19
2024,HONÓRIO GURGEL,2,10,12
2024,HUMAITÁ,84,204,288
2024,INHAÚMA,2,8,10
2024,INHOAÍBA,1,38,39
2024,IPANEMA,6,259,265
2024,IRAJÁ,2,19,21
2024,ITANHANGÁ,8,94,102
2024,JACAREPAGUÁ,2,44,46
2024,JACAREZINHO,1,6,7
2024,JACARÉ,1,72,73
2024,JARDIM AMÉRICA,3,1,4
2024,JARDIM BOTÂNICO,6,73,79
2024,JARDIM CARIOCA,1,21,22
2024,JARDIM GUANABARA,1,21,22
2024,JARDIM SULACAP,0,21,21
2024,JOÁ,8,94,102
2024,LAGOA,6,73,79
2024,LAPA,9,80,89
2024,LARANJEIRAS,73,143,216
2024,LEBLON,6,259,265
2024,LEME,13,171,184
2024,LINS DE VASCONCELOS,3,12,15
2024,MADUREIRA,2,8,10
2024,MAGALHÃES BASTOS,0,21,21
2024,MANGUEIRA,2,10,12
2024,MANGUINHOS,0,19,19
2024,MARACANÃ,14,33,47
2024,MARECHAL HERMES,1,5,6
2024,MARIA DA GRAÇA,2,8,10
2024,MARÉ,0,19,19
2024,MONERÓ,1,21,22
2024,MÉIER,1,6,7
2024,OLARIA,4,10,14
2024,PACIÊNCIA,1,32,33
2024,PADRE MIGUEL,8,28,36
2024,PAQUETÁ,9,80,89
2024,PARQUE ANCHIETA,0,9,9
2024,PARQUE COLÚMBIA,0,5,5
2024,PAVUNA,0,5,5
2024,PECHINCHA,2,25,27
2024,PEDRA DE GUARATIBA,0,24,24
2024,PENHA,4,10,14
2024,PENHA CIRCULAR,4,10,14
2024,PIEDADE,2,3,5
2024,PILARES,2,3,5
2024,PITANGUEIRAS,1,21,22
2024,PORTUGUESA,1,21,22
2024,PRAIA DA BANDEIRA,1,21,22
2024,PRAÇA DA BANDEIRA,14,33,47
2024,PRAÇA SECA,0,11,11
2024,QUINTINO BOCAIÚVA,2,8,10
2024,RAMOS,0,19,19
2024,REALENGO,0,21,21
2024,RECREIO DOS BANDEIRANTES,9,113,122
2024,RIACHUELO,1,6,7
2024,RIBEIRA,1,21,22
2024,RICARDO DE ALBUQUERQUE,0,9,9
2024,RIO COMPRIDO,0,13,13
2024,ROCHA,1,6,7
2024,ROCHA MIRANDA,2,10,12
2024,ROCINHA,0,1,1
2024,SAMPAIO,1,6,7
2024,SANTA CRUZ,1,38,39
2024,SANTA TERESA,1,5,6
2024,SANTO CRISTO,1,16,17
2024,SANTÍSSIMO,1,38,39
2024,SAÚDE,1,16,17
2024,SENADOR CAMARÁ,8,28,36
2024,SENADOR VASCONCELOS,1,38,39
2024,SEPETIBA,0,24,24
2024,SÃO CONRADO,6,73,79
2024,SÃO FRANCISCO XAVIER,1,6,7
2024,TANQUE,2,36,38
2024,TAQUARA,2,44,46
2024,TAUÁ,1,21,22
2024,TIJUCA,18,80,98
2024,TODOS OS SANTOS,4,18,22
2024,TOMÁS COELHO,2,8,10
2024,URCA,84,204,288
2024,VARGEM GRANDE,9,113,122
2024,VARGEM PEQUENA,9,113,122
2024,VASCO DA GAMA,2,10,12
2024,VAZ LOBO,2,8,10
2024,VICENTE DE CARVALHO,2,19,21
2024,VIDIGAL,6,73,79
2024,VIGÁRIO GERAL,3,1,4
2024,VILA DA PENHA,2,19,21
2024,VILA ISABEL,3,38,41
2024,VILA KOSMOS,2,19,21
2024,VILA MILITAR,0,21,21
2024,VILA VALQUEIRE,0,11,11
2024,VISTA ALEGRE,2,19,21
2024,ZUMBI,1,21,22
2024,ÁGUA SANTA,5,15,20
2025,ABOLIÇÃO,4,8,12
2025,ACARI,0,8,8
2025,ALTO DA BOA VISTA,3,41,44
2025,ANCHIETA,1,10,11
2025,ANDARAÍ,7,37,44
2025,ANIL,3,70,73
2025,BANCÁRIOS,2,21,23
2025,BANGU,4,22,26
2025,BARRA DA TIJUCA,15,128,143
2025,BARRA DE GUARATIBA,3,163,166
2025,BARROS FILHO,0,8,8
2025,BENFICA,3,13,16
2025,BENTO RIBEIRO,2,9,11
2025,BONSUCESSO,3,13,16
2025,BOTAFOGO,68,201,269
2025,BRÁS DE PINA,1,14,15
2025,CACHAMBI,1,19,20
2025,CACUIA,2,21,23
2025,CAJU,3,23,26
2025,CAMORIM,3,163,166
2025,CAMPINHO,2,9,11
2025,CAMPO DOS AFONSOS,6,30,36
2025,CAMPO GRANDE,0,85,85
2025,CASCADURA,3,18,21
2025,CATETE,59,204,263
2025,CATUMBI,8,14,22
2025,CAVALCANTI,3,18,21
2025,CENTRO,32,484,516
2025,CIDADE DE DEUS,3,70,73
2025,CIDADE NOVA,8,14,22
2025,CIDADE UNIVERSITÁRIA,2,21,23
2025,COCOTÁ,2,21,23
2025,COELHO NETO,1,14,15
2025,COLÉGIO,2,38,40
2025,COPACABANA,10,394,404
2025,CORDOVIL,1,5,6
2025,COSME VELHO,59,204,263
2025,COSMOS,0,85,85
2025,COSTA BARROS,0,8,8
2025,CURICICA,3,70,73
2025,DEL CASTILHO,0,9,9
2025,DEODORO,6,30,36
2025,ENCANTADO,4,8,12
2025,ENGENHEIRO LEAL,3,18,21
2025,ENGENHO DA RAINHA,0,9,9
2025,ENGENHO DE DENTRO,6,14,20
2025,ENGENHO NOVO,1,18,19
2025,ESTÁCIO,8,14,22
2025,FLAMENGO,59,204,263
2025,FREGUESIA (JACAREPAGUÁ),1,21,22
2025,GALEÃO,2,21,23
2025,GAMBOA,1,21,22
2025,GARDÊNIA AZUL,3,70,73
2025,GERICINÓ,4,22,26
2025,GLÓRIA,59,204,263
2025,GRAJAÚ,7,37,44
2025,GRUMARI,3,163,166
2025,GUADALUPE,1,10,11
2025,GUARATIBA,0,20,20
2025,GÁVEA,13,88,101
2025,HIGIENÓPOLIS,3,13,16
2025,HONÓRIO GURGEL,1,14,15
2025,HUMAITÁ,68,201,269
2025,INHAÚMA,0,9,9
2025,INHOAÍBA,0,85,85
2025,IPANEMA,16,633,649
2025,IRAJÁ,1,24,25
2025,ITANHANGÁ,15,128,143
2025,JACAREPAGUÁ,3,70,73
2025,JACAREZINHO,1,18,19
2025,JACARÉ,1,73,74
2025,JARDIM AMÉRICA,1,5,6
2025,JARDIM BOTÂNICO,13,88,101
2025,JARDIM CARIOCA,2,21,23
2025,JARDIM GUANABARA,2,21,23
2025,JARDIM SULACAP,6,30,36
2025,JOÁ,15,128,143
2025,LAGOA,13,88,101
2025,LAPA,6,95,101
2025,LARANJEIRAS,59,204,263
2025,LEBLON,16,633,649
2025,LEME,4,262,266
2025,LINS DE VASCONCELOS,2,6,8
2025,MADUREIRA,3,18,21
2025,MAGALHÃES BASTOS,6,30,36
2025,MANGUEIRA,3,23,26
2025,MANGUINHOS,3,13,16
2025,MARACANÃ,9,54,63
2025,MARECHAL HERMES,2,9,11
2025,MARIA DA GRAÇA,0,9,9
2025,MARÉ,3,13,16
2025,MONERÓ,2,21,23
2025,MÉIER,1,19,20
2025,OLARIA,0,9,9
2025,PACIÊNCIA,1,40,41
2025,PADRE MIGUEL,4,22,26
2025,PAQUETÁ,6,95,101
2025,PARQUE ANCHIETA,1,10,11
2025,PARQUE COLÚMBIA,0,8,8
2025,PAVUNA,0,8,8
2025,PECHINCHA,1,21,22
2025,PEDRA DE GUARATIBA,0,20,20
2025,PENHA,0,9,9
2025,PENHA CIRCULAR,0,9,9
2025,PIEDADE,4,8,12
2025,PILARES,4,8,12
2025,PITANGUEIRAS,2,21,23
2025,PORTUGUESA,2,21,23
2025,PRAIA DA BANDEIRA,2,21,23
2025,PRAÇA DA BANDEIRA,9,54,63
2025,PRAÇA SECA,1,14,15
2025,QUINTINO BOCAIÚVA,3,18,21
2025,RAMOS,3,13,16
2025,REALENGO,6,30,36
2025,RECREIO DOS BANDEIRANTES,3,163,166
2025,RIACHUELO,1,18,19
2025,RIBEIRA,2,21,23
2025,RICARDO DE ALBUQUERQUE,1,10,11
2025,RIO COMPRIDO,8,14,22
2025,ROCHA,1,18,19
2025,ROCHA MIRANDA,1,14,15
2025,ROCINHA,0,0,0
2025,SAMPAIO,1,18,19
2025,SANTA CRUZ,1,50,51
2025,SANTA TERESA,2,10,12
2025,SANTO CRISTO,1,21,22
2025,SANTÍSSIMO,0,85,85
