fid,ext,tipo_infra,fluxo_infr,inicio,contabilizar,vias,area_plane,local_infr,final,SHAPE__Length,rp,status,cod_rp,score_infra,cluster_seguranca,score_seguranca_final,safety_score_refinado,safety_score_final_v2
405,3.89024093,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Oposto ao número 686,Sim,Avenida Epitácio Pessoa,2,Na calçada,Oposto ao número 4976,3890.31163243146,LAGOA,IMPLANTADA,2.1,4,2,2.5,2.5,3.0
406,0.94452528,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 92,Sim,Rua Mário Ribeiro,2,Na calçada,Número 250,944.534947789138,LEBLON,IMPLANTADA,2.1,4,2,2.5,2.5,3.0
407,1.36408901,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 03,Sim,Rua Doutor Julio Otoni,1,No bordo direito da pista,Número 589,1364.11990957924,CENTRO,IMPLANTADA,1.1,3,0,6.0,4.5,4.5
408,3.05913924,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Paineiras Corcovado,Sim,Estrada das Paineiras,1,No bordo direito da pista,Número 92,3059.19081992832,CENTRO,IMPLANTADA,1.1,3,0,6.0,4.5,4.5
409,6.83817129,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,"Estrada Dona Castorina, número 10",Sim,Estrada Dona Castorina,2,No bordo direito da pista,"Estrada Dona Castorina, número 109",6838.13523070546,TIJUCA,IMPLANTADA,2.2,3,0,6.0,4.5,5.0
410,1.41053755,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Estrada Major Archer - Floresta da Tijuca,Sim,Estrada Dom Pedro Augusto,2,No bordo direito da pista,Próximo ao barracão ICMBIO - Floresta da Tijuca,1410.51234664269,TIJUCA,IMPLANTADA,2.2,3,2,2.5,1.0,1.5
411,1.43841788,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,"Estrada Dona Castorina, número 10",Sim,Estrada Dona Castorina,2,No bordo direito da pista,"Estrada Dona Castorina, número 109",1438.39635593372,TIJUCA,IMPLANTADA,2.2,3,0,6.0,4.5,5.0
412,7.94462906,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 68,Sim,Estrada do Redentor,2,No bordo direito da pista,Número 8070,7944.62525901358,TIJUCA,IMPLANTADA,2.2,3,0,6.0,4.5,5.0
413,9.46564156,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 12097,Sim,Estrada do Sumaré,2,"No bordo direito da pista, No bordo esquerdo da pista",Número 62,9465.71443832551,TIJUCA,IMPLANTADA,2.2,3,3,7.5,6.0,6.5
414,0.60021347,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 24,Sim,Rua Alice,2,No meio da pista,Número 598,600.227901031787,LARANJEIRAS,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
415,1.42527392,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 598,Sim,Rua Alice,2,No meio da pista,Número 2040,1425.30741596979,LARANJEIRAS,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
416,0.24317801,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 02,Sim,Rua Amado Nervo,2,No bordo direito da pista,Número 55,243.174811675543,TIJUCA,IMPLANTADA,2.2,3,0,6.0,4.5,5.0
417,0.44395643,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,"Estrada Dona Castorina, número 10",Sim,Estrada Dona Castorina,2,No bordo direito da pista,"Estrada Dona Castorina, número 109",443.957672309481,JARDIM BOTÂNICO,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
418,0.40737141,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 528,Sim,Rua Mario Portela,2,No meio da pista,Número 27,407.381527900725,LARANJEIRAS,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
419,0.91557166,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Oposto ao número 70,Sim,Rua Pacheco Leão,2,Na calçada,Oposto ao número 894,915.580721981617,JARDIM BOTÂNICO,IMPLANTADA,2.1,4,2,2.5,2.5,3.0
420,1.9548882,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Esquina com Estrada do Sumaré,Sim,Estrada Dom Joaquim Mamede,1,No bordo direito da pista,Esquina com Rua Almirante Alexandrino,1954.91683249467,CENTRO,IMPLANTADA,1.1,3,0,6.0,4.5,4.5
421,0.22007958,CICLOFAIXA,BIDIRECIONAL,Oposto ao número 22,Sim,Rua General Garzon,2,No bordo direito da pista,Oposto ao número 100,220.082240136213,LAGOA,IMPLANTADA,2.1,2,2,2.5,1.0,1.5
422,1.42767314,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Próximo a Cascata Gabriela - Floresta  daTijuca (PNT),Sim,Estrada Escragnole,2,No bordo direito da pista,Próximo ao Restaurante Os Esquilos - Floresta da Tijuca (PNT),1427.64542226315,TIJUCA,IMPLANTADA,2.2,3,2,2.5,1.0,1.5
423,0.31178252,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Entrada do Centro de Visitantes da Floresta da Tijuca - PNT,Sim,Caminho dos Picos,2,No bordo direito da pista,Próximo ao Barracão ICMBIO - Floresta da Tijuca - PNT,311.777349577659,TIJUCA,IMPLANTADA,2.2,3,2,2.5,1.0,1.5
424,1.0954834,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,"Dom Pedro Augusto, na Floresta da Tijuca",Sim,Estrada Major Archer,2,No bordo direito da pista,"Próximo a Cascata Gabriela, na Floresta da Tijuca (PNT)",1095.46196580192,TIJUCA,IMPLANTADA,2.2,3,2,2.5,1.0,1.5
425,1.64518718,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Praça Afonso Viseu,Sim,Estrada Cascatinha,2,No bordo direito da pista,Avenida Taunay da Floresta da Tijuca,1645.16282946145,TIJUCA,IMPLANTADA,2.2,3,2,2.5,1.0,1.5
426,0.3257995,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Estrada Escragnolle,Sim,Caminho da Saudade/Caminho dos Picos,2,No bordo direito da pista,Estrada Bom Retiro,325.794144410339,TIJUCA,IMPLANTADA,2.2,3,2,2.5,1.0,1.5
427,0.34643235,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 11,Sim,Largo do Machado,2,No bordo esquerdo da pista,Número 39,346.443106428213,CATETE,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
428,0.1381186,CICLOFAIXA,BIDIRECIONAL,Número 11,Sim,Largo do Machado,2,No bordo esquerdo da pista,Número 39,138.122907249627,CATETE,IMPLANTADA,2.1,2,2,2.5,1.0,1.5
429,0.36333485,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 66,Sim,Rua Gago Coutinho,2,No bordo direito da pista,Número 04,363.345624039688,LARANJEIRAS,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
430,0.90992177,CICLOFAIXA,BIDIRECIONAL,Praça José de Alencar,Sim,Rua do Catete,2,No bordo esquerdo da pista,Número 106,909.950554657397,CATETE,IMPLANTADA,2.1,2,2,2.5,1.0,1.5
431,0.28134434,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 184,Sim,Rua Professor Estelita Lins,2,No bordo esquerdo da pista,Número 20,281.351351399046,LARANJEIRAS,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
432,0.30489841,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 585,Sim,Rua das Laranjeiras,2,No bordo direito da pista,Número 495,304.905763707661,LARANJEIRAS,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
433,0.92834827,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Número 01,Sim,Rua das Laranjeiras,2,No bordo esquerdo da pista,Número 259,928.374895225039,LARANJEIRAS,IMPLANTADA,2.1,3,2,2.5,1.0,1.5
434,0.21520296,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 15,Sim,Rua General Glicério,2,No bordo esquerdo da pista,Número 183,215.208303356753,LARANJEIRAS,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
435,0.21196331,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 30,Sim,Rua Senador Vergueiro,2,No bordo esquerdo da pista,Rua do Catete,211.970109010779,FLAMENGO,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
436,0.70700686,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 647,Sim,Rua Cosme Velho,2,No bordo direito da pista,Número 09,707.022530787457,COSME VELHO,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
437,0.69130804,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 487,Sim,Rua das Laranjeiras,2,Na calçada,Número 265,691.325849613145,LARANJEIRAS,IMPLANTADA,2.1,4,2,2.5,2.5,3.0
438,2.71663514,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Próximo ao Terminal Taquara,Sim,Estrada Rodrigues Caldas,4,Na calçada,Número 2640,2716.46810095818,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
439,0.23658375,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Avenida Lúcio Costa,Sim,Rua Raul Amaro Nim Ferreira,4,No bordo direito da pista,Rua Professor Hermes de Lima,236.562645772122,BARRA DA TIJUCA,IMPLANTADA,4.2,3,0,6.0,4.5,4.5
440,0.23658375,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua Professor Hermes de Lima,Sim,Rua Raul Amaro Nim Ferreira,4,No bordo direito da pista,Avenida Lúcio Costa,236.562479730713,BARRA DA TIJUCA,IMPLANTADA,4.2,3,0,6.0,4.5,4.5
441,1.91265517,CICLOVIA,BIDIRECIONAL,Oposto ao número 314,Sim,Avenida Niemeyer,2,No bordo direito da pista,"Próximo à Avenida Prefeito Mendes de Morais, número 699",1912.65299243871,VIDIGAL,INTERDITADA,2.1,1,2,2.5,0.0,0.5
442,0.24885304,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Padre Guilherme Decaminada,Sim,Rodovia Governador Mário Covas,5,No bordo direito da pista,Passarela s/n - Sentido Centro,248.810328207713,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
443,12.18983332,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,"Av. Dom João VI, próximo a Estrada da Pedra",Sim,Avenida das Américas,5,No bordo esquerdo da pista,"Av. Dom João VI, número 27705",12188.060116208,GUARATIBA,IMPLANTADA,5.4,4,2,2.5,1.0,0.8
444,12.23640654,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,"Av. Dom João VI, número 27705",Sim,Avenida das Américas,5,Na calçada,"Av. Dom João VI, próximo a Estrada da Pedra",12234.627490979,GUARATIBA,IMPLANTADA,5.4,4,2,2.5,2.5,2.0
445,0.75460019,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 249,Sim,Avenida Júlio Furtado,2,No bordo direito da pista,Número 03,754.60019,TIJUCA,IMPLANTADA,2.2,3,0,6.0,4.5,5.0
446,0.7515293,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 06,Sim,Avenida Júlio Furtado,2,No bordo direito da pista,Número 244,751.522631363933,TIJUCA,IMPLANTADA,2.2,3,0,6.0,4.5,5.0
447,0.62384826,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 49,Sim,Avenida Engenheiro Richard,2,No bordo direito da pista,Número 273,623.842967034335,TIJUCA,IMPLANTADA,2.2,3,0,6.0,4.5,5.0
448,0.6228372,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 52,Sim,Avenida Engenheiro Richard,2,No bordo direito da pista,Número 260,622.831897015583,TIJUCA,IMPLANTADA,2.2,3,0,6.0,4.5,5.0
449,2.17410875,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua República Árabe da Síria,Sim,Estrada do Galeão,3,No bordo direito da pista,Praça Jerusalém,2174.14948795438,ILHA DO GOVERNADOR,IMPLANTADA,3.7,3,0,6.0,4.5,4.5
450,1.24087827,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Praça Jerusalém,Sim,Estrada da Bica,3,No bordo direito da pista,Número 01,1240.90832535353,ILHA DO GOVERNADOR,IMPLANTADA,3.7,3,0,6.0,4.5,4.5
451,0.67313117,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Oposto ao número 5323,Sim,Avenida Horácio Macedo,3,Na calçada,Oposto ao número 3875,673.134413618821,ILHA DO GOVERNADOR,IMPLANTADA,3.7,4,2,2.5,2.5,2.5
452,0.97599459,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 56,Sim,Rua Grajaú,2,No bordo direito da pista,Número 250,975.986900084285,TIJUCA,IMPLANTADA,2.2,3,0,6.0,4.5,5.0
453,0.69601056,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Após a Rua Maravilha,Sim,Rua Leopoldo Bulhões,1,Na calçada,Próximo à Rua Araruá (Linha Férrea),696.009670342673,CENTRO,IMPLANTADA,1.1,4,2,2.5,2.5,2.5
454,2.30065071,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Estrada do Pontal,Sim,Estrada Vereador Alceu de Carvalho,4,Na calçada,Número 1020,2300.40874702928,BARRA DA TIJUCA,IMPLANTADA,4.2,4,2,2.5,2.5,2.5
455,0.40083765,CICLOVIA,BIDIRECIONAL,Número 5400,Sim,Rua AW,4,Na calçada,Número 955,400.795490464276,BARRA DA TIJUCA,IMPLANTADA,4.2,1,2,2.5,2.5,2.5
456,1.89521177,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Delfim Moreira,Sim,Avenida Niemeyer,2,Na calçada,Oposto ao número 314,1895.22185413273,VIDIGAL,IMPLANTADA,2.1,4,2,2.5,2.5,3.0
457,0.27484229,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,"Av. Borges de Medeiros, número 1424",Sim,Complexo Lagoon,2,Na calçada,Parque das Figueiras,274.845667293197,LAGOA,IMPLANTADA,2.1,4,2,2.5,2.5,3.0
458,1.21757677,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Estrada do Rio Grande,Sim,Estrada da Ligação,4,Na calçada,Número 1367,1217.49520595945,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
459,0.11533425,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Rua Ana Teles,Sim,Rua Maricá,3,No bordo esquerdo da pista,Rua Pinto Teles,115.329316580203,MADUREIRA,IMPLANTADA,3.3,3,2,2.5,1.0,1.0
460,0.01391685,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Rua Ana Teles,Sim,Rua Maricá,3,No bordo esquerdo da pista,Rua Pinto Teles,13.9162388255592,MADUREIRA,IMPLANTADA,3.3,3,2,2.5,1.0,1.0
