infra_tipo,infra_fluxo,vias,inicio,final,bairro,extensao_metros,area_planejamento,score_c,score_d,peso_v,peso_h,safety_score_final_v2,risco_infraestrutura,score_risco,categoria_seguranca,cor
Ciclofaixa,Bidirecional,RUA PROFESSOR EURICO RABÊLO,Rua Paula Souza,Após a Rua Isidro de Figueiredo,TIJUCA,"409,560074084355",2,"224,8","117,0","1,2","2,0","1,5","9,5","829,8",Alta segurança,verde
Ciclofaixa,"Unidirecional, no fluxo dos automóveis",RUA ENGENHEIRO FRANCISCO PASSOS,Rua Taperoá,Avenida Braz de Pina,PENHA,"1396,03235427628",3,"17,6","70,0","1,0","2,0","6,0","5,0","180,2",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA HAROLDO LOBO,Rua José Moura da Silva,Estrada do Galeão,ILHA DO GOVERNADOR,"66,3402821796576",3,"0,0","0,0","1,0","2,0","2,5","8,5","4,6",Alta segurança,verde
Ciclovia,Bidirecional,AVENIDA DO MAGISTÉRIO,Oposto ao número 535,Número 48,ILHA DO GOVERNADOR,"823,672899106773",3,"0,0","0,0","1,2","2,0","2,5","8,5","4,9",Alta segurança,verde
Faixa compartilhada na pista,Não identificado,RUA DA UNIÃO,Número 12,Número 40,CENTRO,"124,861526782561",1,"894,4","117,4","1,0","1,0","8,0","3,0","1014,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,VIA B4,Número 132,Via Binário do porto,CENTRO,"1020,62695082916",1,"894,4","117,4","1,0","1,0","2,5","8,5","1020,3",Alta segurança,verde
Ciclovia,Bidirecional,PRAIA DE OLARIA,Parque Manuel Bandeira,Parque Manuel Bandeira,ILHA DO GOVERNADOR,"930,778866072319",3,"0,0","0,0","1,2","2,0","2,5","8,5","4,9",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA CARUARU,Número 486,Número 30,TIJUCA,"533,797478526086",2,"224,8","117,0","1,0","1,0","5,0","6,0","347,8",Alta segurança,verde
Ciclofaixa,Bidirecional,RUA PROFESSOR EURICO RABÊLO,Número 455,Número 125,TIJUCA,"260,799187457805",2,"224,8","117,0","1,2","2,0","1,5","9,5","829,8",Alta segurança,verde
Ciclofaixa,Não identificado,AVENIDA PROFESSOR MANOEL DE ABREU,Rua Professor Eurico Rabelo,Avenida Radial Oeste,TIJUCA,"213,396511705329",2,"224,8","117,0","2,0","3,0","10,0","1,0","2051,8",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA VISCONDE DE ITAMARATI,Número 167,Rua Professor Eurico Rabelo,TIJUCA,"643,731663013475",2,"224,8","117,0","1,0","1,0","5,0","6,0","347,8",Alta segurança,verde
Ciclofaixa,"Unidirecional, no fluxo dos automóveis",RUA PEDRO ERNESTO,Número 125,Rua da Gamboa,CENTRO,"104,689079478855",1,"894,4","117,4","1,0","1,0","4,5","6,5","1018,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA RAMIRO MAGALHÃES,Rua Dois de Fevereiro,Rua Doutor Leal,MÉIER,"1123,41750837567",3,"23,2","0,0","1,2","2,0","2,5","8,5","64,2",Alta segurança,verde
Ciclofaixa,Não identificado,RUA PROFESSOR EURICO RABÊLO,Número 125,Av: Prof Manoel de Abreu,TIJUCA,"328,784637563618",2,"224,8","117,0","1,2","2,0","1,5","9,5","829,8",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,AVENIDA PROFESSOR PEREIRA REIS,Praça Santo Cristo,Via B4,CENTRO,"230,073506847848",1,"894,4","117,4","1,5","3,0","9,5","1,5","4554,6",Atenção,amarelo
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA ARAXÁ,Número 19,Número 551,TIJUCA,"301,389582053146",2,"224,8","117,0","1,0","1,0","5,0","6,0","347,8",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,VIA D1,Praça Marechal Hermes,Rua General. Luiz Mendes de Morais,CENTRO,"565,98731435927",1,"894,4","117,4","1,0","1,0","9,5","1,5","1013,3",Alta segurança,verde
Ciclovia,Não identificado,CONDOMÍNIO NOVA CCPL,Via interna do Condomínio Nova CCPL,Via interna do Condomínio Nova CCPL,MÉIER,"699,867074846861",3,"23,2","0,0","1,0","1,0","9,0","2,0","25,2",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",PRAÇA EDMUNDO RÊGO,Número 06,Número 05,TIJUCA,"277,078928732657",2,"224,8","117,0","1,0","2,0","6,0","5,0","688,6",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,AVENIDA CIDADE DE LIMA,Praça Marechal Hermes,Via D1,CENTRO,"76,7165753217957",1,"894,4","117,4","1,5","2,0","1,0","10,0","3045,4",Segurança moderada,verde claro
Faixa compartilhada na calçada,Bidirecional,CANAL DA CUNHA,Rua Leopoldo Bulhões Número 378,Rua Vinte,RAMOS,"781,748305586822",3,"30,0","0,0","1,0","1,0","2,5","8,5","38,5",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA DOUTOR PADILHA,Oposto ao número 238,"Rua das Oficinas, oposto ao número 84",MÉIER,"377,716863839663",3,"23,2","0,0","1,0","1,0","2,5","8,5","31,7",Alta segurança,verde
