fid,ext,tipo_infra,apenas_ano,fluxo_infr,inicio,contabilizar,data_implant,vias,area_plane,local_infr,executor,final,SHAPE__Length,rp,status,cod_rp
62,1.35758227,Ciclofaixa,,Bidirecional,Número 1284,Sim,,Praia de Sepetiba,5,No bordo direito da pista,,Número 01,1357.3355601609,Santa Cruz,Implantada,5.3
63,6.27685741,Faixa compartilhada na calçada,,Bidirecional,Oposto ao número 6112,Sim,,Estrada do Magarça,5,Na calçada,,Número 375,6275.94035021498,Guaratiba,Implantada,5.4
64,1.37806807,Faixa compartilhada na calçada,,Bidirecional,Número 40,Sim,,Estrada do Encanamento,5,No bordo esquerdo da pista,,Número 1362,1377.86355823849,Campo Grande,Implantada,5.2
65,4.06210359,Faixa compartilhada na calçada,,Bidirecional,Avenida Cesário de Melo,Sim,,Estrada Santa Efigênia,5,No bordo direito da pista,,Estrada Visconde de Sinimbu,4061.45931006269,Santa Cruz,Implantada,5.3
66,5.40313942,Faixa compartilhada na calçada,,Bidirecional,Rua Francisco Belisário,Sim,,Estrada de Urucânia,5,Na calçada,,Oposto ao número 20,5402.24853032764,Santa Cruz,Implantada,5.3
67,0.26918635,Faixa compartilhada na calçada,,Bidirecional,Próximo à Rua Lopes de Moura,Sim,,Rua Lucindo Passos,5,No bordo direito da pista,,Próximo à Rua Felipe Cardoso,269.139295542178,Santa Cruz,Implantada,5.3
68,0.49603247,Ciclovia,,Bidirecional,Próximo à Rua do Império,Sim,,Rua Senador Camará,5,No bordo esquerdo da pista,,Próximo à Rua Capitão Ricardo Kirk,495.94532650625,Santa Cruz,Implantada,5.3
69,1.70960576,Faixa compartilhada na calçada,,Bidirecional,Estrada da Lama Preta,Sim,,Estrada do Guarani,5,No bordo direito da pista,,Avenida Brasil,1709.32768365778,Santa Cruz,Implantada,5.3
70,0.32059918,Faixa compartilhada na calçada,,Bidirecional,Praça Rosária Trotta,Sim,,Avenida Cesário de Melo,5,No bordo direito da pista,,Próxima à Rua Xavier Marques,320.558607780277,Campo Grande,Implantada,5.2
71,0.51725096,Faixa compartilhada na calçada,,Não identificado,Número 06,Sim,,Rua Felipe Cardoso,5,No canteiro central,,Rua Lucindo Passos,517.16062854287,Santa Cruz,Implantada,5.3
72,3.77861948,Faixa compartilhada na calçada,,Bidirecional,Rua Tamboril,Sim,,Rua Cel. Tamarindo,5,No bordo direito da pista,,Próximo ao Viaduto de Bangu,3778.26200616308,Bangu,Implantada,5.1
73,0.03772434,Faixa compartilhada na calçada,,Não identificado,Avenida Dom João VI,Sim,,Rua dos Bombeiros,5,Não identificado,,Avenida Dom João VI,37.7182219092395,Guaratiba,Implantada,5.4
74,0.72029296,Ciclofaixa,,Bidirecional,Rua João Bruno Lobo,Sim,,Rua Iperó,4,No bordo esquerdo da pista,,Rua André Rocha,720.24908821513,Jacarepaguá,Implantada,4.1
75,0.62858305,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Pedro Téles,Sim,,Rua Capitão Machado,4,No bordo direito da pista,,Rua A,628.555503128462,Jacarepaguá,Implantada,4.1
76,0.44483534,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Francisco Abreu Ferro,Sim,,Rua Doutor Bernardino,4,No bordo direito da pista,,Rua Japurá,444.815882641088,Jacarepaguá,Implantada,4.1
77,0.7442461,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Travessa Antônina,Sim,,Rua Capitão Menezes,4,No bordo direito da pista,,Rua Cândido Benício,744.213436161086,Jacarepaguá,Implantada,4.1
78,1.43924203,Faixa compartilhada na calçada,,Bidirecional,Estrada do Engenho Velho,Sim,,Estrada da Meringuava,4,Na calçada,,Praça Professora Nídea Otero,1439.15246831361,Jacarepaguá,Implantada,4.1
79,0.92054084,Faixa compartilhada na calçada,,Bidirecional,Número 831,Sim,,Estrada de Mapuá,4,Na calçada,,Estrada Rodrigues Caldas,920.484415037344,Jacarepaguá,Implantada,4.1
80,1.39594733,Faixa compartilhada na calçada,,Bidirecional,Rua Núcleo Rodrigues Caldas,Sim,,Avenida Sampaio Corrêa,4,Na calçada,,Próximo a Travessa 136,1395.85842633216,Jacarepaguá,Implantada,4.1
81,2.93037203,Ciclovia,,"Unidirecional, no fluxo dos automóveis",Rodovia Presidente Dutra,Sim,,Rua Ministro Artur Costa,3,Na calçada,,Rua Otávio Mangabeira,2930.26964962366,Penha,Implantada,3.5
82,1.41168967,Ciclofaixa,,Não identificado,Número 13,Sim,,Avenida Prefeito Sá Lessa,3,No bordo direito da pista,,Número 473,1411.62114861045,Pavuna,Implantada,3.6
83,0.73909661,Faixa compartilhada na calçada,,Bidirecional,Estrada do Rio Grande,Sim,,Estrada da Soca,4,Na calçada,,Número 670,739.050996017743,Jacarepaguá,Implantada,4.1
84,0.67647326,Faixa compartilhada na pista,,Bidirecional,Número 651,Sim,,Rua Pedro Téles,4,No bordo esquerdo da pista,,Número 61,676.442726562963,Jacarepaguá,Implantada,4.1
85,0.44338803,Faixa compartilhada na calçada,,"Unidirecional, isolada em relação à via pública",Rua Pinto Teles,Sim,,Rua Maricá,4,Na calçada,,Rua Capitão Menezes,443.368326869743,Jacarepaguá,Implantada,4.1
86,0.77397895,Faixa compartilhada na pista,,Bidirecional,Número 44,Sim,,Rua Baronesa,4,Na calçada,,Número 764,773.94240589555,Jacarepaguá,Implantada,4.1
87,1.65691401,Faixa compartilhada na calçada,,Bidirecional,Rua Francisco,Sim,,Rua Luiz Beltrão,4,Na calçada,,Avenida Jambeiro,1656.82932910875,Jacarepaguá,Implantada,4.1
88,0.1880897,Faixa compartilhada na pista,,Não identificado,Rua Rodolfo Portugal Milward,Sim,,Rua Soldado Bruno Estrifica,4,Não identificado,,Rua João Bruno Lobo,188.07815965219,Jacarepaguá,Implantada,4.1
89,0.2605357,Faixa compartilhada na calçada,,Bidirecional,Rua Cambaúba,Sim,,Estrada do Galeão,3,Na calçada,,Rua Haroldo Lobo,260.540309868097,Ilha do Governador,Implantada,3.7
90,0.51523761,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Cambaúba,Sim,,Estrada do Galeão,3,No bordo direito da pista,,Rua Luís Belart,515.24627139547,Ilha do Governador,Implantada,3.7
91,1.06623499,Ciclofaixa,,Bidirecional,Rua Iperó,Sim,,Rua João Bruno Lobo,4,No bordo direito da pista,,Praça do Bandolim,1066.17046029178,Jacarepaguá,Implantada,4.1
92,0.45629689,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua João Bruno Lobo,Sim,,Rua Delfos,4,No bordo direito da pista,,Rua Hércules,456.268935631228,Jacarepaguá,Implantada,4.1
93,0.3022464,Faixa compartilhada na calçada,,Bidirecional,Estrada do Encanamento,Sim,,Estrada da Paciência,5,No bordo esquerdo da pista,,Próximo ao Viaduto de Paciência,302.199342816697,Santa Cruz,Implantada,5.3
94,0.01707113,Faixa compartilhada na calçada,,Bidirecional,"Rua Guarujá, número 5555",Sim,,Rua Soldado Hamilton de Silva e Costa,5,Na calçada,,Número 04,17.0683795210349,Campo Grande,Implantada,5.2
95,0.58166767,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua da Reverência,Sim,,Rua Rodolfo Portugal Milward,4,"No bordo direito da pista, No bordo esquerdo da pista",,Rua Soldado Bruno Estrífica,581.63118919882,Jacarepaguá,Implantada,4.1
96,1.21026454,Faixa compartilhada na calçada,,Bidirecional,Rua Soares Caldeira,Sim,,Rua do Parque Madureira,3,Na calçada,,Rua Menezes Brum,1210.2125628499,Madureira,Implantada,3.3
97,0.20863139,Faixa compartilhada na calçada,,Bidirecional,Rua Menezes Brum,Sim,,Rua do Parque Madureira,3,Na calçada,,Rua Laura Brandão,208.620847246984,Pavuna,Implantada,3.6
98,2.36655492,Faixa compartilhada na calçada,,Bidirecional,Rua Soares Caldeira,Sim,,Rua do Parque Madureira,3,Na calçada,,Rua Menezes Brum,2366.44322260877,Madureira,Implantada,3.3
99,0.2600435,Faixa compartilhada na calçada,,Não identificado,Número 10,Sim,,Avenida Geneneral Oswaldo Cordeiro de Farias,3,No canteiro central,,Número 132,260.029119732955,Madureira,Implantada,3.3
100,0.25344938,Ciclovia,,Não identificado,Em torno da Praça,Sim,,Praça Quinze de Novembro,3,No bordo esquerdo da pista,,Em torno da Praça,253.435280911303,Madureira,Implantada,3.3
101,0.1579405,Faixa compartilhada na calçada,,Não identificado,Número 300,Sim,,Avenida Geneneral Oswaldo Cordeiro de Farias,3,No canteiro central,,Número 418,157.931588887515,Madureira,Implantada,3.3
102,0.19336668,Ciclofaixa,,Bidirecional,Número 3111 - Pista lateral,Sim,,Avenida Horácio Macedo,3,No bordo direito da pista,,Rua Milton Santos,193.367936206614,Ilha do Governador,Implantada,3.7
103,0.54700848,Faixa compartilhada na calçada,,Bidirecional,Número 187,Sim,,Avenida Johann Strauss,3,Na calçada,,Número 250,546.977892739823,Madureira,Implantada,3.3
104,0.46089351,Ciclovia,,Bidirecional,Avenida Johann Strauss,Sim,,Rua Saravatá,3,No bordo esquerdo da pista,,Número 83,460.868020313338,Madureira,Implantada,3.3
105,0.18289696,Faixa compartilhada na calçada,,Bidirecional,Número 83,Sim,,Rua Saravatá,3,Na calçada,,Rua Carolina Machado,182.886929938021,Madureira,Implantada,3.3
106,0.64828815,Ciclovia,,Bidirecional,Rua Carolina Machado,Sim,,Rua Saravatá,3,No bordo esquerdo da pista,,Avenida Johann Strauss,648.25245999442,Madureira,Implantada,3.3
107,0.62732324,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua A,Sim,,Rua Capitão Machado,4,No bordo direito da pista,,Rua Pedro Téles,627.295718940444,Jacarepaguá,Implantada,4.1
108,0.58437368,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Pedro Téles,Sim,,Rua Capitão Menezes,4,No bordo direito da pista,,Travessa Antônina,584.348168676472,Jacarepaguá,Implantada,4.1
109,0.04050651,Faixa compartilhada na calçada,,Bidirecional,Rua Maricá,Sim,,Rua Capitão Menezes,4,Na calçada,,Rua Pedro Téles,40.504640771398,Jacarepaguá,Implantada,4.1
110,0.07494172,Faixa compartilhada na pista,,Bidirecional,Rua Ana Teles,Sim,,Rua Maricá,3,No bordo esquerdo da pista,,Rua Pinto Teles,74.938396991494,Madureira,Implantada,3.3
111,0.21117626,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Japurá,Sim,,Rua Doutor Bernardino,4,No bordo direito da pista,,Rua Pedro Téles,211.166777144441,Jacarepaguá,Implantada,4.1
112,0.1583336,Faixa compartilhada na calçada,,Bidirecional,Número 187,Sim,,Rua Boa Vista,4,Na calçada,,Avenida Teixeira Brandão,158.323330706476,Jacarepaguá,Implantada,4.1
113,0.31978975,Faixa compartilhada na calçada,,Bidirecional,Avenida Adauto Botelho,Sim,,Avenida Teixeira Brandão,4,Na calçada,,Rua Boa Vista,319.768768527175,Jacarepaguá,Implantada,4.1
114,0.33891161,Faixa compartilhada na calçada,,Bidirecional,Rua Dantes de Palmares,Sim,,Avenida Adauto Botelho,4,Na calçada,,Estrada Rodrigues Caldas,338.889630352489,Jacarepaguá,Implantada,4.1
115,1.45053974,Faixa compartilhada na calçada,,Bidirecional,Avenida Teixeira Brandão,Sim,,Avenida Adauto Botelho,4,Na calçada,,Rua Dantes de Palmares,1450.44521173476,Jacarepaguá,Implantada,4.1
