Ano;Logradouro;Delito;Total
2021;Rua Rio Da Prata;Acidente de trânsito;14
2021;Rua Rio Da Prata;Lesão corporal culposa - trânsito;14
2021;Rua Sao Francisco Xavier;Acidente de trânsito;31
2021;Rua Sao Francisco Xavier;Lesão corporal culposa - trânsito;31
2021;Rua Sao Luiz Gonzaga;Acidente de trânsito;15
2021;Rua Sao Luiz Gonzaga;Lesão corporal culposa - trânsito;17
2021;Rua Senador Bernardo Monteiro;Acidente de trânsito;10
2021;Rua Teodoro Da Silva;Acidente de trânsito;11
2021;Rua Teodoro Da Silva;Lesão corporal culposa - trânsito;11
2021;Rua Uranos;Acidente de trânsito;64
2021;Rua Uranos;Lesão corporal culposa - trânsito;70
2021;Rua Vd Negrao Lima;Lesão corporal culposa - trânsito;10
2021;Rua Vinte E Quatro De Maio;Acidente de trânsito;17
2021;Rua Vinte E Quatro De Maio;Lesão corporal culposa - trânsito;18
2021;Rua Visconde De Niteroi;Acidente de trânsito;23
2021;Rua Visconde De Niteroi;Lesão corporal culposa - trânsito;22
2021;Rua Voluntarios Da Patria;Acidente de trânsito;11
2021;Rua Voluntarios Da Patria;Lesão corporal culposa - trânsito;11
2021;Rua Xavier Curado;Acidente de trânsito;11
2021;Rua Xavier Curado;Lesão corporal culposa - trânsito;12
2021;Via Expressa Linha Amarela;Acidente de trânsito;22
2021;Via Expressa Linha Amarela;Lesão corporal culposa - trânsito;22
2021;Via Expressa Linha Vermelha;Acidente de trânsito;30
2021;Via Expressa Linha Vermelha;Lesão corporal culposa - trânsito;29
2021;Via Transolimpica;Acidente de trânsito;24
2021;Via Transolimpica;Lesão corporal culposa - trânsito;24
2021;Vila Sem Tipo Sem Nome;Acidente de trânsito;10
2021;Vila Sem Tipo Sem Nome;Lesão corporal culposa - trânsito;12
2020;Avenida Alberico Diniz;Acidente de trânsito;11
2020;Avenida Alberico Diniz;Lesão corporal culposa - trânsito;11
2020;Avenida Amaro Cavalcanti;Acidente de trânsito;14
